Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance;Elevation_m
SYNOP;SYNO;7363851;067970;BEH;Passo del Bernina;46.4092,10.0196;2260m;2014-09-15T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;2262.2
SYNOP;SYNO;15890694;;WIT;Wittnau;47.4804,7.96854;463m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;463.8
SYNOP;SYNO;20701173;;VSBAS;Baltschiedertal;46.3423,7.87932;1318m;2018-05-09T06:30:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1319.0
SYNOP;SYNO;28367291;066170;BRL;La Brévine;46.9838,6.6103;1050m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1048.5
SYNOP;SYNO;30633461;;ABG;L'Abergement;46.7562,6.49021;647m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;646.8
SYNOP;SYNO;45286347;;KUB;Küblis;46.9123,9.77751;839m;2017-12-04T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;835.7
SYNOP;SYNO;64150975;067980;SCU;Scuol;46.7933,10.2833;1304m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1302.5
SYNOP;SYNO;75006491;;TEU;Teufen, AR;47.3879,9.39607;834m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;833.8
SYNOP;SYNO;77175386;;ZWE;Zweisimmen;46.5506,7.38478;1015m;2018-05-09T06:30:00Z;2025-05-02T07:30:00Z;-999;-999;-999;937.0
SYNOP;SYNO;79304738;;ROG;Rossberg;47.0737,8.54776;1129m;2018-05-09T06:30:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1127.0
SYNOP;SYNO;102105009;;LTB;Lauterbrunnen;46.5929,7.90646;815m;2017-12-03T06:00:00Z;2025-05-02T07:20:00Z;-999;-999;-999;816.8
SYNOP;SYNO;128182596;066030;VEV;Vevey / Corseaux;46.4712,6.81506;405m;2015-09-08T08:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;401.6
SYNOP;SYNO;133829985;;SAP;Safien Platz;46.6787,9.31508;1296m;2018-05-09T06:30:00Z;2025-05-02T07:20:00Z;-999;-999;-999;1297.1
SYNOP;SYNO;139379953;066480;EGO;Egolzwil;47.1794,8.00476;522m;2002-01-01T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;521.2
SYNOP;SYNO;145809835;;SCE;Schwarzenegg;46.8055,7.72275;902m;2017-12-03T06:00:00Z;2025-05-01T06:00:00Z;-999;-999;-999;903.6
SYNOP;SYNO;152145768;;VSERG;Ergisch;46.293,7.71629;1133m;2018-05-09T06:30:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1132.4
SYNOP;SYNO;152816731;066080;CHM;Chaumont;47.0492,6.97882;1136m;2013-09-04T00:00:00Z;2025-05-02T07:30:00Z;-999;-999;-999;1136.2
