Ski Resort,Pistes,Top,Beg,Int,Exp
Dolomiti Superski,"1,420km","3,270m",4,5,4
Ski Pass Mont Blanc,952km,"3,840m",4,5,5
The Milky Way,933km,"2,840m",4,5,4
Amadé,760km,"2,700m",4,5,4
Salzburger Sportwelt,760km,"2,200m",4,4,4
Avoriaz,650km,"2,280m",4,5,4
Brides-les-Bains,600km,"3,200m",3,2,5
The Three Valleys,600km,"3,200m",4,5,5
Kitzbüheler Alpen,595km,"2,020m",-,-,-
Jungfrau Region,591km,"2,971m",-,-,-
Grande Galaxie,531km,"3,600m",5,5,5
Zillertal,489km,"3,280m",4,5,4
Silvretta,480km,"2,900m",-,-,-
Flattach,475km,"3,120m",2,3,1
Mölltal Gletscher - Flattach,475km,"3,122m",2,3,1
Flims-Laax-Falera,470km,"3,018m",4,5,4
Megève,445km,"2,350m",3,2,1
Paradiski,425km,"3,250m",4,5,5
Espace Lumière,418km,"2,600m",4,4,3
Four Valleys,412km,"3,330m",4,5,5
Verbier,412km,"3,330m",2,5,5
Portes du Soleil,400km,"2,470m",4,5,5
Sauze d'Oulx,400km,"2,800m",4,5,4
Sestrière,400km,"2,840m",4,5,4
Via Lattea,400km,"2,800m",-,-,-
Zermatt,394km,"3,900m",3,5,5
Alpe d’Huez,389km,"3,330m",4,5,5
Skirama Dolomiti Adamello-Brenta,380km,"3,000m",-,-,-
Hochzillertal-Hochfügen,379km,"2,360m",2,3,1
Aosta Valley,352km,"3,490m",4,5,5
Flachau,350km,"1,980m",2,3,1
Hochkönig,350km,"1,921m",-,-,-
Maloja,350km,"3,300m",2,2,2
St. Moritz,350km,"3,300m",3,4,4
Wagrain,350km,"2,020m",3,2,1
Adelboden-Lenk,342km,"2,350m",3,3,1
Arlberg,340km,"2,811m",4,5,5
Le Grand Domaine,324km,"2,550m",5,5,4
Zillertal Arena,322km,"2,410m",4,5,3
Davos,320km,"2,840m",3,5,5
Klosters,307km,"2,840m",2,3,2
Espace Killy,300km,"3,450m",3,5,5
St. Johann-Alpendorf,300km,"2,000m",4,4,2
Dachstein West,299km,"2,100m",3,4,5
Ortler Skiarena,297km,"3,250m",4,-,2
SkiWelt,288km,"1,957m",4,5,3
Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,270km,"2,020m",3,4,4
Samoëns,266km,"2,500m",3,2,1
Grand Massif,265km,"2,500m",4,5,3
Les Carroz,265km,"2,500m",3,3,1
Lech,260km,"2,810m",4,5,5
St. Anton am Arlberg,260km,"2,810m",4,4,5
Aramon,259km,"2,630m",4,4,3
Bregenzerwald,259km,"2,050m",-,-,-
Bad Gastein,250km,"2,700m",4,5,4
Gstaad,250km,"3,000m",4,4,4
Gstaad Mountain Rides,250km,"3,000m",4,5,4
Rougemont,250km,"2,200m",4,2,1
Saanen,250km,"3,000m",-,-,-
Saanenmöser,250km,"3,000m",-,-,-
Schönried,250km,"3,000m",-,-,-
Serre Chevalier,250km,"2,800m",4,5,4
Val di Fassa,248km,"2,630m",4,5,3
Pyrenees 2 Vallées,247km,"2,515m",-,-,-
Annecy Mountains,245km,"2,600m",-,-,-
Les Sybelles,240km,"2,620m",4,3,3
Tourmalet,240km,"2,500m",4,2,1
Alpe d'Huez,236km,"3,330m",4,5,5
Hintertux,236km,"3,250m",2,4,1
Flims,235km,"3,018m",4,5,4
Laax,235km,"2,477m",4,5,4
Tux - Finkenberg,227km,"3,250m",3,4,4
Arosa Lenzerheide,225km,"2,870m",-,-,-
La Plagne,225km,"3,250m",4,5,4
Alpes Vaudoises,220km,"2,970m",-,-,-
Les Deux Alpes,220km,"3,600m",5,5,5
Trevalli,218km,"2,513m",4,5,3
Grandvalira,216km,"2,640m",4,5,3
Montchavin-Les Coches,215km,"3,250m",4,3,4
Serfaus-Fiss-Ladis,214km,"2,828m",2,4,1
Grindelwald,213km,"2,950m",4,4,3
Lauterbrunnen,213km,"2,971m",2,3,1
Monterosa,213km,"3,550m",4,4,4
Champagny en Vanoise,212km,"3,250m",4,2,1
Adelboden,210km,"2,350m",3,3,1
Gastein,205km,"2,700m",4,5,4
Dorfgastein,201km,"2,033m",4,5,4
Ischgl,200km,"2,900m",2,4,1
Les Arcs,200km,"3,230m",4,5,5
Saalbach Hinterglemm,200km,"2,019m",4,5,4
Samnaun,200km,"2,900m",1,4,2
Thyon les Collons,200km,"2,100m",4,-,4
Riksgränsen,199km,910m,2,4,1
Dachstein-Tauern,197km,"2,700m",2,4,3
Espace Diamant,185km,"2,070m",4,5,3
Alta Valtellina,184km,"3,020m",4,4,3
La Forêt Blanche,180km,"2,750m",4,5,3
Risoul,180km,"2,750m",4,5,3
Val Gardena,176km,"2,518m",4,5,3
