Ski Resort,Pistes,Top,Beg,Int,Exp,Resort Lat,Resort Lon
Dolomiti Superski,"1,420km","3,270m",4,5,4,46.8873983,9.6567822
Ski Pass Mont Blanc,952km,"3,840m",4,5,5,45.8326223,6.8651749
The Milky Way,933km,"2,840m",4,5,4,46.8873983,9.6567822
Amadé,760km,"2,700m",4,5,4,46.8873983,9.6567822
Salzburger Sportwelt,760km,"2,200m",4,4,4,47.34605699999999,13.391812
Avoriaz,650km,"2,280m",4,5,4,46.1931052,6.7733778
Brides-les-Bains,600km,"3,200m",3,2,5,45.45441,6.571562
The Three Valleys,600km,"3,200m",4,5,5,46.8873983,9.6567822
Kitzbüheler Alpen,595km,"2,020m",-,-,-,47.33334019999999,12.3332956
Jungfrau Region,591km,"2,971m",-,-,-,46.536784,7.9625955
Grande Galaxie,531km,"3,600m",5,5,5,46.8873983,9.6567822
Zillertal,489km,"3,280m",4,5,4,47.022447,11.9016289
Silvretta,480km,"2,900m",-,-,-,46.8333333,10.25
Flattach,475km,"3,120m",2,3,1,46.9335124,13.1321528
Mölltal Gletscher - Flattach,475km,"3,122m",2,3,1,46.9803514,13.0514613
Flims-Laax-Falera,470km,"3,018m",4,5,4,46.80287449999999,9.2286501
Megève,445km,"2,350m",3,2,1,45.856876,6.61775
Paradiski,425km,"3,250m",4,5,5,46.8873983,9.6567822
Espace Lumière,418km,"2,600m",4,4,3,46.8873983,9.6567822
Four Valleys,412km,"3,330m",4,5,5,46.8873983,9.6567822
Verbier,412km,"3,330m",2,5,5,46.0960814,7.2285512
Portes du Soleil,400km,"2,470m",4,5,5,46.2552382,6.8417296
Sauze d'Oulx,400km,"2,800m",4,5,4,45.0267503,6.858403
Sestrière,400km,"2,840m",4,5,4,44.95778929999999,6.878637100000001
Via Lattea,400km,"2,800m",-,-,-,44.9560752,6.8815184
Zermatt,394km,"3,900m",3,5,5,46.0207133,7.749117000000001
Alpe d’Huez,389km,"3,330m",4,5,5,45.0923807,6.0683611
Skirama Dolomiti Adamello-Brenta,380km,"3,000m",-,-,-,45.61024702579898,11.79105455857455
Hochzillertal-Hochfügen,379km,"2,360m",2,3,1,47.2651281,11.817244
Aosta Valley,352km,"3,490m",4,5,5,45.7388878,7.426186599999999
Flachau,350km,"1,980m",2,3,1,47.3414833,13.3909059
Hochkönig,350km,"1,921m",-,-,-,47.42019440000001,13.0626383
Maloja,350km,"3,300m",2,2,2,46.4010681,9.695255099999999
St. Moritz,350km,"3,300m",3,4,4,46.4907973,9.8355079
Wagrain,350km,"2,020m",3,2,1,47.3335825,13.2962904
Adelboden-Lenk,342km,"2,350m",3,3,1,46.4930889,7.5595123
Arlberg,340km,"2,811m",4,5,5,47.13,10.211
Le Grand Domaine,324km,"2,550m",5,5,4,46.8873983,9.6567822
Zillertal Arena,322km,"2,410m",4,5,3,47.2372435,11.8994042
Davos,320km,"2,840m",3,5,5,46.8027453,9.835970099999999
Klosters,307km,"2,840m",2,3,2,46.8699029,9.882869699999999
Espace Killy,300km,"3,450m",3,5,5,45.458561,6.904753599999999
St. Johann-Alpendorf,300km,"2,000m",4,4,2,47.32136999999999,13.19445
Dachstein West,299km,"2,100m",3,4,5,47.42127,13.653102
Ortler Skiarena,297km,"3,250m",4,-,2,46.5105577,10.5445006
SkiWelt,288km,"1,957m",4,5,3,47.5031128,12.1908727
Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,270km,"2,020m",3,4,4,47.3930656,12.6361704
Samoëns,266km,"2,500m",3,2,1,46.084044,6.728173
Grand Massif,265km,"2,500m",4,5,3,46.0765845,6.7212897
Les Carroz,265km,"2,500m",3,3,1,46.02561559999999,6.6378806
Lech,260km,"2,810m",4,5,5,47.2111926,10.1439399
St. Anton am Arlberg,260km,"2,810m",4,4,5,47.1296346,10.2681786
Aramon,259km,"2,630m",4,4,3,43.89084099999999,4.679412999999999
Bregenzerwald,259km,"2,050m",-,-,-,47.2662703,9.890495999999999
Bad Gastein,250km,"2,700m",4,5,4,47.1140887,13.132661
Gstaad,250km,"3,000m",4,4,4,46.4707612,7.284597399999999
Gstaad Mountain Rides,250km,"3,000m",4,5,4,46.4707612,7.284597399999999
Rougemont,250km,"2,200m",4,2,1,46.4891397,7.208916400000001
Saanen,250km,"3,000m",-,-,-,46.48971840000001,7.261678499999999
Saanenmöser,250km,"3,000m",-,-,-,46.5177335,7.309492699999999
Schönried,250km,"3,000m",-,-,-,46.5042918,7.289479300000001
Serre Chevalier,250km,"2,800m",4,5,4,44.910829,6.549748
Val di Fassa,248km,"2,630m",4,5,3,46.43333330000001,11.7
Pyrenees 2 Vallées,247km,"2,515m",-,-,-,54.5259614,15.2551187
Annecy Mountains,245km,"2,600m",-,-,-,45.899247,6.129384
